id,name,code,parent_id:id,notprintable,sign
0,PT Mega Jaya,0,,,1
4,Tax Bases,4,0,FALSE,1
3,Taxable Sales Base,3,4,FALSE,1
2,Taxable Sales Base PPN (10%),2,3,FALSE,1
6,Tax Received,6,0,FALSE,1
5,Tax Received PPN (10%),5,6,FALSE,1
8,Taxable Purchases Base,8,4,FALSE,1
7,Taxable Purchases Base PPN,7,8,FALSE,1
10,Tax Paid,10,0,FALSE,1
9,Tax Paid PPN (10%),9,10,FALSE,1
11,Taxable Sales Base UD (EXEMPT),11,3,FALSE,1
12,Tax Received UD (EXEMPT),12,6,FALSE,1
13,Taxable Purchases Base UD (EXEMPT),13,8,FALSE,1
14,Tax Paid UD (EXEMPT),14,10,FALSE,1
15,Taxable Sales Base EXPORT (0%),15,3,FALSE,1
16,Tax Received EXPORT (0%),16,6,FALSE,1
17,Taxable Purchases IMPORT (EXEMPT),17,8,FALSE,1
18,Tax Paid IMPORT (0%),18,10,FALSE,1
